week,peak,shoulder,offpeak
1,20,60,88
2,20,60,88
3,20,60,88
4,20,60,88
5,20,60,88
6,20,60,88
7,20,60,88
8,20,60,88
9,20,60,88
10,20,60,88
11,20,60,88
12,20,60,88
13,20,60,88
14,20,60,89
15,20,60,88
16,20,60,88
17,20,60,88
18,20,60,88
19,20,60,88
20,20,60,88
21,20,60,88
22,20,60,88
23,20,60,88
24,20,60,88
25,20,60,88
26,20,60,88
27,20,60,88
28,20,60,88
29,20,60,88
30,20,60,88
31,20,60,88
32,20,60,88
33,20,60,88
34,20,60,88
35,20,60,88
36,20,60,88
37,20,60,88
38,20,60,88
39,20,60,87
40,20,60,88
41,20,60,88
42,20,60,88
43,20,60,88
44,20,60,88
45,20,60,88
46,20,60,88
47,20,60,88
48,20,60,88
49,20,60,88
50,20,60,88
51,20,60,88
52,24,72,96
