week,block,HY,NI,SI
1,offpeak,230.920,2010.739,1594.193
1,peak,341.650,2721.700,1863.700
1,shoulder,311.283,2558.667,1781.000
2,offpeak,243.330,2168.159,1614.693
2,peak,382.150,3017.600,1974.600
2,shoulder,352.133,2858.000,1880.483
3,offpeak,251.307,2195.807,1655.455
3,peak,385.950,3026.600,2036.250
3,shoulder,359.567,2863.983,1930.400
4,offpeak,252.023,2228.784,1593.943
4,peak,390.150,3073.550,1941.500
4,shoulder,352.967,2928.367,1848.517
5,offpeak,254.261,2202.523,1698.239
5,peak,406.200,3124.500,2058.750
5,shoulder,376.033,2882.483,1972.567
6,offpeak,247.489,2160.716,1692.716
6,peak,394.650,3145.500,2039.200
6,shoulder,356.967,2840.117,1940.500
7,offpeak,255.261,2230.205,1705.432
7,peak,400.000,3201.600,2045.700
7,shoulder,371.150,3006.067,1976.067
8,offpeak,248.773,2238.068,1714.011
8,peak,397.450,3125.100,2063.500
8,shoulder,370.350,2975.767,2002.067
9,offpeak,248.398,2187.318,1678.886
9,peak,392.750,3116.300,2031.300
9,shoulder,369.733,2947.667,1963.117
10,offpeak,254.193,2176.443,1638.239
10,peak,405.900,3081.850,2015.950
10,shoulder,376.883,2960.283,1903.850
11,offpeak,263.227,2175.432,1515.693
11,peak,422.750,3023.850,1947.650
11,shoulder,386.633,2879.750,1795.750
12,offpeak,253.125,2177.000,1514.534
12,peak,403.750,3100.500,1925.250
12,shoulder,376.783,2953.300,1813.383
13,offpeak,257.068,2220.614,1501.170
13,peak,417.100,3178.700,1895.750
13,shoulder,383.333,3016.367,1788.483
14,offpeak,277.180,2215.202,1535.764
14,peak,490.650,3279.050,2050.300
14,shoulder,423.117,3040.283,1887.383
15,offpeak,264.114,2167.136,1515.148
15,peak,440.500,3251.450,1997.900
15,shoulder,386.783,2931.600,1815.200
16,offpeak,264.182,2185.898,1514.159
16,peak,457.050,3214.350,1965.700
16,shoulder,389.100,2910.283,1791.183
17,offpeak,264.955,2217.227,1497.273
17,peak,437.900,3199.950,1911.050
17,shoulder,386.950,2928.400,1770.967
18,offpeak,293.875,2347.977,1609.386
