% Power stations with fixed generation.,,,,,
% YEAR and/or WEEK can be 'all',,,,,
% Generation in MW - Data year 2017,,,,,
generator,node,week,peak,shoulder,offpeak
HY_Fixed,HY,1,123.6,81.6,88
HY_Fixed,HY,2,161.1,112.6,99.2
HY_Fixed,HY,3,141.9,130.9,124.8
HY_Fixed,HY,4,133.1,94.9,90
HY_Fixed,HY,5,110.7,126.1,132.9
HY_Fixed,HY,6,74.3,83.1,91.8
HY_Fixed,HY,7,83.7,77.6,81.4
HY_Fixed,HY,8,57.6,74.6,43.1
HY_Fixed,HY,9,28,55.3,39.4
HY_Fixed,HY,10,113,103.7,125.1
HY_Fixed,HY,11,76.5,101.5,111.1
HY_Fixed,HY,12,66,92.5,75.2
HY_Fixed,HY,13,98.7,99.1,93.8
HY_Fixed,HY,14,134.3,105.8,117.3
HY_Fixed,HY,15,33.8,61.4,81.7
HY_Fixed,HY,16,45.8,45.6,36.3
HY_Fixed,HY,17,126,107.3,79.5
HY_Fixed,HY,18,103.8,96.5,71
HY_Fixed,HY,19,114.5,114.1,89
HY_Fixed,HY,20,75.7,99.8,73.8
HY_Fixed,HY,21,112.5,97.8,87.3
HY_Fixed,HY,22,53.5,44.8,64.8
HY_Fixed,HY,23,41.8,57.4,67.6
HY_Fixed,HY,24,111.9,104.2,77.2
HY_Fixed,HY,25,88.2,98.4,79.3
HY_Fixed,HY,26,51.3,77.1,68.4
HY_Fixed,HY,27,51.1,50.7,47.2
HY_Fixed,HY,28,129.3,93.3,74.8
HY_Fixed,HY,29,94.9,118.8,108.1
HY_Fixed,HY,30,106.7,105,90.3
HY_Fixed,HY,31,114.1,86.3,70.7
HY_Fixed,HY,32,133.6,130.5,138.5
HY_Fixed,HY,33,95.3,83.8,103.6
HY_Fixed,HY,34,107.3,123.7,134.6
HY_Fixed,HY,35,118.5,118.5,112.6
HY_Fixed,HY,36,114.4,125.9,118.1
HY_Fixed,HY,37,49.6,100,98.3
HY_Fixed,HY,38,25.5,41.2,60.9
HY_Fixed,HY,39,115.4,102.5,106.2
HY_Fixed,HY,40,77.3,86.5,74.2
HY_Fixed,HY,41,46.9,78.6,86.1
HY_Fixed,HY,42,47.1,67.7,76.4
HY_Fixed,HY,43,74.7,79.3,77.2
HY_Fixed,HY,44,112.4,93.1,101.7
HY_Fixed,HY,45,115,111.3,103.4
HY_Fixed,HY,46,63.7,66.4,89.5
HY_Fixed,HY,47,75.8,60.7,53.9
HY_Fixed,HY,48,16.8,32.6,51.7
HY_Fixed,HY,49,105.3,95.5,125.5
HY_Fixed,HY,50,89.3,72.8,91.3
HY_Fixed,HY,51,170.1,123.2,63.5
HY_Fixed,HY,52,141.9,135.1,138.3
NI_Fixed,NI,1,1368.8,1275,1258.8
NI_Fixed,NI,2,1338.6,1335,1308.9
NI_Fixed,NI,3,1209.9,1193.4,1180.7
NI_Fixed,NI,4,1268.4,1229.4,1213.7
NI_Fixed,NI,5,1238.6,1227,1263.6
NI_Fixed,NI,6,1241.9,1223.7,1217.5
NI_Fixed,NI,7,1336.4,1258,1255.5
NI_Fixed,NI,8,1253.3,1216.3,1212.9
NI_Fixed,NI,9,1170.3,1188.1,1200.3
NI_Fixed,NI,10,1278.5,1273.6,1248.5
NI_Fixed,NI,11,1231.3,1206.1,1213.6
NI_Fixed,NI,12,1277.8,1266.5,1229.1
NI_Fixed,NI,13,1286.9,1271.8,1242.9
NI_Fixed,NI,14,1393.2,1331.4,1274
NI_Fixed,NI,15,1244.6,1250.8,1254.9
