% Fuel costs ($/GJ)
week,coal,diesel,gas
1,6.47,24.1,7.04
2,6.47,24.1,7.04
3,6.47,24.1,7.04
4,6.47,24.1,7.04
5,6.47,24.1,7.04
6,6.47,24.1,7.04
7,6.47,24.1,7.04
8,6.47,24.1,7.04
9,6.47,24.1,7.04
10,6.47,24.1,7.04
11,6.47,24.1,7.04
12,6.47,24.1,7.04
13,6.47,24.1,7.04
14,6.47,24.1,7.04
15,6.47,24.1,7.04
16,6.47,24.1,7.04
17,6.47,24.1,7.04
18,6.47,24.1,7.04
19,6.47,24.1,7.04
20,6.47,24.1,7.04
21,6.47,24.1,7.04
22,6.47,24.1,7.04
23,6.47,24.1,7.04
24,6.47,24.1,7.04
25,6.47,24.1,7.04
26,6.47,24.1,7.04
27,6.47,24.1,7.04
28,6.47,24.1,7.04
29,6.47,24.1,7.04
30,6.47,24.1,7.04
31,6.47,24.1,7.04
32,6.47,24.1,7.04
33,6.47,24.1,7.04
34,6.47,24.1,7.04
35,6.47,24.1,7.04
36,6.47,24.1,7.04
37,6.47,24.1,7.04
38,6.47,24.1,7.04
39,6.47,24.1,7.04
40,6.47,24.1,7.04
41,6.47,24.1,7.04
42,6.47,24.1,7.04
43,6.47,24.1,7.04
44,6.47,24.1,7.04
45,6.47,24.1,7.04
46,6.47,24.1,7.04
47,6.47,24.1,7.04
48,6.47,24.1,7.04
49,6.47,24.1,7.04
50,6.47,24.1,7.04
51,6.47,24.1,7.04
52,6.47,24.1,7.04
