scenario,week,Lake_Arapuni,Lake_Aratiatia,Lake_Atiamuri,Lake_Aviemore,Lake_Benmore,Lake_Cobb,Lake_Coleridge,Lake_Dunstan,Lake_Hawea,Lake_Karapiro,Lake_Maraetai,Lake_Matahina,Lake_Moawhango,Lake_Ohakuri,Lake_Ohau,Lake_Pukaki,Lake_Rotoaira,Lake_Roxburgh,Lake_Taupo,Lake_Tekapo,Lake_Waikaremoana,Lake_Waipapa,Lake_Waitaki,Lake_Wanaka,Lake_Whakamaru,Lakes_Manapouri_Te_Anau,Mangahao_head
1932,1,9.0559,3.5126,0.9879,16.9844,42.461,249.8964,7.7496,23.9221,41.8353,9.7694,491.272,8.6924,17.6178,57.331,155.7213,68.0763,8.8912,79.8134,26.7689,8.528,110.063,36.9327,0.002,1.8661,9.214,239.3729,12.9526
1932,2,9.417,3.6527,1.0273,26.1004,65.251,248.4926,7.0247,20.686,66.4771,10.159,856.1587,5.4129,18.3204,57.86,252.0643,110.2987,9.2458,122.6524,27.8461,8.4801,115.2879,38.8329,3.00E-04,1.9405,14.1595,281.2636,13.4692
1932,3,9.9539,3.8609,1.0859,19.3619,48.4047,281.7243,7.0564,20.8273,48.5249,10.7381,467.6826,3.069,19.3648,64.0067,193.5196,116.5344,9.7729,90.9863,31.4607,9.6142,132.3016,44.9453,12.5709,2.0511,10.5038,260.4089,14.237
1932,4,9.9083,3.8432,1.0809,19.8588,49.647,289.4847,5.5454,14.0821,48.8083,10.6889,754.0866,7.1191,19.2761,51.086,203.1866,73.7044,9.7281,93.3211,20.8453,9.879,70.3909,20.1186,0.7771,2.0417,10.7734,227.4851,14.1718
1932,5,10.7846,4.1831,1.1765,23.3087,58.2719,265.7304,7.8474,24.3594,53.9524,11.6343,696.8,7.0073,20.981,50.4021,243.8307,88.3747,10.5885,109.5336,19.8307,9.0684,63.0283,16.7737,9.00E-04,2.2223,12.645,245.711,15.4253
1932,6,11.3633,4.4076,1.2396,17.5811,43.9527,262.0237,6.0933,16.5293,58.4059,12.2586,424.7059,2.2417,22.1067,50.1493,187.8387,127.2863,11.1567,82.6179,19.8871,8.9419,62.0091,16.2129,49.7309,2.3415,9.5377,274.1427,16.2529
1932,7,11.6564,4.5213,1.2716,14.2914,35.7286,236.3957,4.6876,10.2526,32.8907,12.5747,283.2016,3.9136,22.6769,64.4164,155.445,71.6844,11.4444,67.159,32.2366,8.0673,133.5166,45.1987,114.9023,2.4019,7.7531,219.6884,16.6721
1932,8,11.0295,4.2781,1.2032,23.0165,57.5413,235.2302,11.1233,38.9829,60.111,11.8985,338.6869,10.8471,21.4575,71.788,248.2413,103.91,10.829,108.1603,42.7457,8.0275,184.1111,63.4096,43.9289,2.2728,12.4865,206.305,15.7756
1932,9,11.4243,4.4312,1.2463,19.8369,49.5923,236.9055,7.0294,20.7079,50.1664,12.3244,489.4279,2.7097,22.2254,49.6947,189.8937,93.3186,11.2166,93.2187,18.6994,8.0847,55.1411,12.8396,12.742,2.3541,10.7615,195.9549,16.3402
1932,10,11.8844,4.6097,1.2965,12.8938,32.2346,209.7808,5.1949,12.5169,42.992,12.8207,235.0307,1.4351,23.1205,53.772,141.5757,69.1169,11.6683,60.5909,23.3341,7.159,89.8617,29.3286,64.3507,2.4489,6.9949,183.4699,16.9983
1932,11,12.1542,4.7143,1.3259,10.1087,25.2717,163.1753,4.4876,9.3596,34.4509,13.1118,197.6587,7.7066,23.6454,47.9841,111.6811,55.9019,11.9332,47.5036,18.4194,5.5685,54.803,12.8923,43.5064,2.5045,5.484,171.3021,17.3841
1932,12,12.3038,4.7724,1.3422,10.2916,25.729,135.3898,4.7251,10.4206,40.6349,13.2732,245.5339,6.5107,23.9366,58.8839,139.8103,64.7073,12.0801,48.3636,27.7376,4.6203,105.0463,32.689,12.0046,2.5353,5.5832,160.2523,17.5982
1932,13,11.0627,4.291,1.2068,7.1146,17.7864,121.705,4.578,9.764,43.6406,11.9343,157.9719,2.5836,21.5219,49.5103,88.091,66.3689,10.8615,33.4336,23.406,4.1533,82.9819,23.7413,20.9313,2.2796,3.8597,165.5727,15.823
